,회사명,종목코드,상장일,상장유형,증권구분,상장주선인,액면가(원),공모가(원),공모금액(천원),최초상장주식수(주),1년후종가
109,투비소프트,079970,2010-06-01,신규상장,주권,한국투자증권(주),500,8000,3160000,2048120,1440
110,실리콘웍스,108320,2010-06-08,신규상장,주권,한국투자증권(주),500,67000,67000000,6505720,28550
111,솔라시아,070300,2010-06-09,신규상장,주권,한국투자증권(주),500,5000,4375000,4373900,4740
112,이연제약,102460,2010-06-10,신규상장,주권,KB증권(주),500,16500,21450000,11712000,7963
113,히든챔피언스팩1호,123160,2010-06-11,신규상장,주권,삼성증권(주),1000,2000,30000000,16100000,1750
114,케이엔디티,046120,2010-06-15,신규상장,주권,교보증권(주),500,8500,15300000,7117336,2845
115,유비벨록스,089850,2010-06-18,신규상장,주권,한국투자증권(주),500,11000,11000000,5410776,17000
116,처음앤씨,111820,2010-06-18,신규상장,주권,엔에이치투자증권주식회사,500,13000,11465766,3150000,2289
117,웅진에너지,103130,2010-06-30,신규상장,주권,대신증권(주),500,9500,150860000,62000000,102352
118,신영스팩1호,123750,2010-07-02,신규상장,주권,신영증권(주),500,1000,19700000,20220000,6395
119,한화SV스팩1호,124050,2010-07-09,신규상장,주권,한화투자증권(주),100,5000,20000000,4200000,4490
120,에스디시스템,121890,2010-07-16,신규상장,주권,미래에셋대우(주),500,14800,14060000,3800000,6456
121,무학,033920,2010-07-20,이전상장,주권,한국투자증권(주),5000,0,0,26212561,11838
122,크루셜텍,114120,2010-07-21,신규상장,주권,미래에셋증권(주),500,23500,28326618,8289547,83262
123,웨이포트,900130,2010-07-23,신규상장,외국주권,메리츠증권(주),1,1400,19558000,55880000,681
124,우진,105840,2010-07-26,신규상장,주권,한국투자증권(주),500,15000,32550000,7880000,8900
125,인터로조,119610,2010-07-28,신규상장,주권,한화투자증권(주),500,12000,12134208,4814000,4928
126,하이텍팜,106190,2010-07-28,신규상장,주권,현대차증권주식회사,500,11500,24150000,7000000,17700
127,대성산업,128820,2010-07-30,재상장,주권,하나금융투자(주),5000,0,0,3797761,102945
128,아이마켓코리아,122900,2010-07-30,신규상장,주권,미래에셋증권(주),5000,15300,137700000,35943340,26400
129,이글루시큐리티,067920,2010-08-04,신규상장,주권,미래에셋증권(주),500,14000,21000000,7500000,5992
130,엠에스오토텍,123040,2010-08-06,신규상장,주권,현대차증권주식회사,500,5500,15840000,8200000,3172
131,도화,002150,2010-08-12,신규상장,주권,엔에이치투자증권주식회사,5000,22000,44000000,16860000,9400
132,에스비아이앤솔로몬스팩,123910,2010-08-24,신규상장,주권,아이엠투자증권(주),500,1250,20000000,17000000,1090
133,대신증권그로쓰스팩,123550,2010-08-24,신규상장,주권,대신증권(주),1000,2000,20000000,10960000,1765
134,한국스팩1호,123290,2010-08-24,신규상장,주권,한국투자증권(주),200,2200,23100000,11290000,2030
